ID	Sex	Name	Father No.	Mother No.	id_from_page	name	father_id	mother_id	Different
1868	1	PUGINAŁ II	1150	1232	18680	Puginał	11500	12320	TRUE
1869	1	PUZOL	1150	760	18690	Puzoł	11500	7600	TRUE
1903	1	BYELEN´KIJ	0	1096	19030	Byelen'Kij	NA	10960	TRUE
1904	2	BYELOUŠKA	1170	1167	19040	Byelouska	11700	11670	TRUE
1911	1	MEČENOSEC	1241	1236	19110	Mecenosec	12410	12360	TRUE
1913	1	MEČTATEL	1241	1316	19130	Mectatel	12410	13160	TRUE
1923	1	MUNDŠTUK	872	952	19230	Mundstuk	8720	9520	TRUE
1946	1	BOTJU	1218	1079	19460	???	12180	10790	TRUE
1947	1	BOGDA	1218	1083	19470	???	12180	10830	TRUE
1948	1	LEŠAN II	1432	1033	19480	Lesan II	14320	10330	TRUE
1951	1	KORNELUS	1149	1430	19510	Kornelius	11490	14300	TRUE
1974	1	SPRITZEL	1431	839	19740	Spitzel	14310	8390	TRUE
1978	2	KLÄRE	1764	1521	19780	Klare	17640	15210	TRUE
1984	2	POCIAGŁA	980	1204	19840	Pociągła	9800	12040	TRUE
2013	2	BRIDGET	1010	1671	20130	Brigded	10100	16710	TRUE
2019	2	BYELORUČKA	1201	1096	20190	Byelorucka	12010	10960	TRUE
2033	2	MURECIJA	913	1089	20330	Murecja	10920	10890	TRUE
2041	2	MUKŠA	872	952	20410	Muksa	8720	9520	TRUE
2042	2	MONAŠKA	1092	877	20420	Monaska	10920	8770	TRUE
2069	1	BONČO	1218	1079	20690	???	12180	10790	TRUE
2070	2	VOENA	1218	1558	20700	???	12180	15580	TRUE
2102	2	LOUSIA	1228	0	21020	Louisa	12280	NA	TRUE
2125	1	PUSTA II	946	790	21250	Pusta	9460	7900	TRUE
2141	1	AVÖR	1264	1005	21410	Avor	11640	10050	TRUE
2152	2	BYERESTJANOČKA	1377	1312	21520	Byerestjanocka	13770	13120	TRUE
2153	1	BYESPOMOŠČNYJ	1170	1497	21530	Byespomoscnyj	11700	14970	TRUE
2154	2	BYESTOLOČ'	1170	1328	21540	Byestoloc	11700	13280	TRUE
2155	2	BELOREČKA	1377	1167	21550	Byelorecka	13770	11670	TRUE
2156	2	BYESEDUŠKA	1170	1485	21560	Byeseduska	11700	14850	TRUE
2157	1	BYEREZNJAČËK	1244	834	21570	Byereznjacek	12440	8340	TRUE
2160	2	MEČA	1241	1316	21600	Meca	12410	13160	TRUE
2166	1	METČIK	1043	1306	21660	Metcik	10430	13060	TRUE
2167	1	MEŠČERJAK	1043	1400	21670	Mescerjak	10430	14000	TRUE
2173	1	MONTËR	913	1046	21730	Monter	9130	10460	TRUE
2174	2	MUS'KA	872	1317	21740	Mu'Ska	8720	13170	TRUE
2194	1	VODAČ	1218	1558	21940	???	12180	15580	TRUE
2195	1	VORAN	1218	1824	21950	???	12180	18240	TRUE
2196	1	VOZAČ	1218	1079	21960	???	12180	10790	TRUE
2202	2	SINOKVET	993	1829	22020	Sinokvetka	9930	18290	TRUE
2214	1	GÖSA	1776	1562	22140	Gosa	11760	15620	TRUE
2241	2	DEBRÖ	1436	1438	22410	Derbo	14360	14380	TRUE
2260	2	PURCHAWKA	946	1205	22600	Purchawka II	9460	12050	TRUE
2266	2	PLIKUSA	1561	1357	22660	Plikuska	15610	13570	TRUE
2278	1	BARITTON	1641	1067	22780	Bariton	16410	10670	TRUE
2283	1	MURAVČYK	1608	1741	22830	Muravcyk	16080	17410	TRUE
2287	2	MEDAL	1043	1306	22870	Medal'	10430	13060	TRUE
2289	2	MEDVEDICA	1241	1242	22890	Medevidca	12410	12420	TRUE
2290	1	MEŠČANIN	1241	1316	22900	Miescanin	12410	13160	TRUE
2297	2	MOČKA II	913	1512	22970	Mocka II	9130	15120	TRUE
2299	2	MOTKA	1092	1390	22990	Mot'ka	10920	13900	TRUE
2300	2	MORJAČKA	1092	1307	23000	Morjacka	10920	13070	TRUE
2306	2	MURMOLKA	913	951	23060	Kurmolka	9130	9510	TRUE
2307	1	MOŠNIK	913	1325	23070	Mosnik	9130	13250	TRUE
2309	1	ANVOULAR	1434	1291	23090	Anoular	14340	12310	TRUE
2326	1	VONIK	1218	1083	23260	???	12180	10830	TRUE
2327	2	VOJDA	1218	1559	23270	???	12180	15590	TRUE
2329	1	PRÁM	1302	1451	23290	Pramen	13020	14510	TRUE
2352	2	GÖRLINA	1776	1562	23520	Gorlina	17760	15620	TRUE
2388	0	PU.I	1150	937	23880	Pu. I	11500	9370	TRUE
2393	2	PUSTOLNIA	1575	1205	23930	Pustolina	15750	12050	TRUE
2408	2	RACULA	897	1797	24080	Roluca	8970	17970	TRUE
2418	1	ÖST	1266	1785	24180	Osten	12660	17850	TRUE
2419	1	ÖSTEN	1262	1890	24190	Osten	12620	18900	TRUE
2430	2	BYERËZKA II	0	1328	24300	Byerezka II	NA	13280	TRUE
2440	2	MEČET	1499	1242	24400	Mecet	14990	12420	TRUE
2442	2	MEŠČERJAČKA	1043	1169	24420	Mescerjacka	10430	11690	TRUE
2443	2	MEDIČKA	1912	1316	24430	Medicka	14990	13160	TRUE
2448	1	MOMENT	913	1322	24480	Momient	9130	13220	TRUE
2451	2	MIROMBA	1737	1317	24510	Muromba	17370	13170	TRUE
2452	2	MULJAROVKA	1737	801	24520	Mulijarovka	17370	8010	TRUE
2455	1	MORŽ	913	1634	24550	Morz	9130	16340	TRUE
2484	2	LESNĚNKA	1147	1033	24840	Lesnienka	11470	10330	TRUE
2487	2	PRYŽ	1302	1451	24870	Pryż	13020	14510	TRUE
2539	2	PUSTROGA	1575	1577	25390	Pustorga	15750	15770	TRUE
2578	2	METËLOČKA	2021	1614	25780	Metėločka	20210	16140	TRUE
2599	1	VL…	1437	1668	25990	Vi...	14370	16680	TRUE
2606	0	BE.I	888	1183	26060	Be. I	8880	11830	TRUE
2607	0	BE.II	888	1529	26070	Be. II	8880	15290	TRUE
2660	2	KLADUDINE	1764	1521	26600	Klaudine	17640	15210	TRUE
2672	2	PONAGLA	2383	2248	26720	Ponagła	23830	22480	TRUE
2678	2	PLAŽA	1561	1357	26780	Plaża	15610	13570	TRUE
2708	2	LJUNGE	2171	2299	27080	Ljugne	21710	22990	TRUE
2714	2	MEŠČËRKA	1043	1169	27140	Meščerka	10430	11690	TRUE
2734	2	MU.I	1733	871	27340	Mu. I	17330	8710	TRUE
2760	2	BE.	888	1183	27600	Be…	8880	11830	TRUE
2779	1	KO. I	1149	1142	27790	Ko…	11490	11420	TRUE
2781	1	KO. II	1149	1831	27810	Ko…	11490	18310	TRUE
2785	2	FE.	1075	1066	27850	Fe…	10750	10660	TRUE
2788	2	TI.	0	1651	27880	Ti…	NA	16510	TRUE
2800	1	HUGO	2097	850	28000	???	20970	8500	TRUE
2802	0	DU.	1784	1839	28020	Du…	17840	18390	TRUE
2811	1	HI.	1256	1873	28110	Hi…	12560	18730	TRUE
2814	1	EGGEWIRT	1335	1108	28140	Eggewitr	13350	11080	TRUE
2819	2	WE.	1416	0	28190	We…	14160	NA	TRUE
2820	2	HO.	1642	1410	28200	Ho…	16420	14100	TRUE
2821	2	UL.	2200	2199	28210	Ul…	22000	21990	TRUE
2842	2	BL.	2106	1008	28420	Bl…	21060	10080	TRUE
2852	2	PO.	1450	1206	28520	Po…	14500	12060	TRUE
2854	1	POLANIEC	0	2251	28540	Połaniec	NA	22510	TRUE
2863	2	ZO.	1210	1021	28630	Zo…	12100	10210	TRUE
2868	1	ROMÂNAS	1949	1882	28680	Românaş	19490	18820	TRUE
2876	1	AV	1429	2410	28760	Av…	14290	24100	TRUE
2879	1	KN.	1951	2078	28790	Kn…	19510	20780	TRUE
2883	1	UR.	1801	2083	28830	Ur…	18010	20830	TRUE
2888	1	NE.	1116	1673	28880	Ne…	11160	16730	TRUE
2893	1	MEDLITEL'	1043	1310	28930	Medlitel	10430	13100	TRUE
2895	1	ME. I	1624	1064	28950	Me…	16240	16040	TRUE
2898	2	MEŠČEANKA	1043	1400	28980	Meščanka	10430	14000	TRUE
2903	2	ME. II	1043	1234	29030	Me…	10430	12340	TRUE
2910	1	MO.I	2178	1322	29100	Mo…	21780	13220	TRUE
2912	2	MO. II	1092	2298	29120	Mo…	10920	22980	TRUE
2913	1	MO. III	2178	1046	29130	Mo…	21780	10460	TRUE
2914	0	MO. IV	1092	788	29140	Mo…	10920	7880	TRUE
2915	2	ČE.	2180	2174	29150	Če…	21800	21740	TRUE
2917	2	OL.	1886	2411	29170	Ol…	18860	24110	TRUE
2918	1	GI. I	2171	2172	29180	Gi…	21710	21720	TRUE
2919	2	GI. II	2171	2302	29190	Gi…	21710	23020	TRUE
2920	1	ROSU	1435	1381	29200	Roșu	14350	13810	TRUE
2950	1	SCHOENBRUNN	1531	1998	29500	Schoen-Brunn	15310	19980	TRUE
2998	1	EGERLÄNDER	1988	2361	29980	Egerlän-Der	19880	23610	TRUE
3028	1	VADEMECUM	2081	2205	30280	Vademe-Cum	20810	22050	TRUE
3030	2	GLEN MARKIE	2533	2535	30300	Glen Mar-Kie	25330	25350	TRUE
3039	2	POMPEJA	2383	1862	30390	Pompea	23830	18620	TRUE
3055	2	PILURA	2263	2257	30550	Pulira	22630	22570	TRUE
3058	1	PODAB	1987	2127	30580	Podąb	19870	21270	TRUE
3101	2	ME. II	2021	2032	31010	ME.II	20210	20320	TRUE
3118	1	CH….	2509	1879	31180	CH…	25090	18790	TRUE
3171	1	ADOR	1845	1970	31710	Ador Ii	18450	19700	TRUE
3172	2	GRISONNE	2366	2751	31720	Grissone	23660	27510	TRUE
3173	2	BE. I	2325	1183	31730	Be.I	23250	15290	TRUE
3175	2	BE. II	2325	1529	31750	Be.Ii	23250	15290	TRUE
3179	1	NA	2210	2670	31790	???	22100	26700	TRUE
3196	2	SITŇANKA	2488	2332	31960	Sitnanka	24880	23320	TRUE
3197	1	SIČÁK	2488	2489	31970	Sicak	24880	24890	TRUE
3209	2	TILGARA	2124	1651	32090	Tilagara	21240	16510	TRUE
3228	1	EGLANT	1988	2512	32280	Isabeeau	19880	25120	TRUE
3229	2	ISABEAU	2219	2519	32290	Isidor	22190	25190	TRUE
3230	1	ISIDOR	2219	2487	32300	Kuni	22190	24870	TRUE
3231	2	KUNI	2223	2363	32310	Kura	22230	23630	TRUE
3234	2	XAMENE	2264	2364	32340	Ximene	22640	23640	TRUE
3241	1	KRÖSUS	2375	1950	32410	Krosus	23750	19500	TRUE
3245	1	NOËL	1683	1837	32450	Noel	16830	18370	TRUE
3262	1	EMONE	2532	2530	32620	Loggia	25320	23780	TRUE
3277	2	PORABKA	1450	1984	32770	Porąbka	14500	19840	TRUE
3281	2	POBOZNA	1866	2249	32810	Pobożna	18660	22490	TRUE
3306	1	ESPINAREDO	2002	1883	33060	Espinare-Do	20020	18830	TRUE
3346	2	MOLDAVANKA	2448	1512	33460	Modavanka	24480	15120	TRUE
3360	1	DUBOK	1784	1413	33600	Du.	17840	14130	TRUE
3364	1	GIRDAS	2170	2298	33640	Giridas	21700	22980	TRUE
3436	2	LEŠA	1432	1033	34360	Lesa	14320	10330	TRUE
3451	1	LA..	1530	2351	34510	La…	15300	23510	TRUE
3456	2	GÖRLITZA	1527	1562	34560	Goerlitza	15270	15620	TRUE
3466	2	DU. II	2505	2355	34660	Du. I	25050	23550	TRUE
